"","YearEnd","LocationDesc","Stratification1","Soda 1/day","Obesity","Overweight","PE daily","TV >3hrs daily","No vege daily","No fruit daily","Excercise Daily > 1hr"
"188",2011,"Illinois","Female",22.5,7.1,15.7,71.2,27.6,43.8,39.4,15.8
"189",2011,"Indiana","Female",23.7,11.5,18.5,16.6,27.1,41.4,46.4,15.8
"190",2011,"Iowa","Female",21.2,10.1,14.5,20.9,22.5,37,37.6,19.9
"191",2011,"Kansas","Female",19.6,8,12.8,18.9,23.3,35.9,39.7,19.5
"192",2011,"Kentucky","Female",35.7,12.1,16.6,15.3,31,44.8,50.9,13.3
"193",2011,"Louisiana","Female",43.1,13.8,22.1,39,44.6,50.9,50.1,13.9
"194",2011,"Maine","Female",19.6482394366197,7.7,13,5.6,22.1,39.9402898550725,35.7,17.1
"195",2011,"Maryland","Female",22.5,10.5,15.3,14.5,33.8,40.1,39.6,16.5565836298932
"196",2011,"Massachusetts","Female",13.5,6.2,14,16.6,28.2,39.9402898550725,43.6245989304813,16.5565836298932
"197",2011,"Michigan","Female",18.9,8.1,15.4,18.7,28.5,35.7,38.4,18.8
"198",2011,"Mississippi","Female",37.8,13.5,18.1,23.6,43.7,46.5,43.2,14.6
"199",2011,"Montana","Female",16.7,5.4,11.6,29.1,19.4,33.1,37.9,20.9
"200",2011,"National","Female",24,9.8,15.4,27.2,31.6,38.4,38.4,18.5
"201",2011,"Nebraska","Female",22.5,8,13.6,27.9,23.6,38.1,42.9,19.8
"202",2011,"New Hampshire","Female",19.6482394366197,9.4,14.4,21.6532033426184,27.9302139037433,27.7,35.1,16.5565836298932
"203",2011,"New Jersey","Female",15.1,7.4,15.1,54.5,33.6,35,39.8,16.5565836298932
"204",2011,"New Mexico","Female",23.6,7.8,14.1,22.9,28.3,38.1,43.8,18.5
"205",2011,"New York","Female",19.1,8,14.9,17.4,30,39.9402898550725,34.9,16.2
"206",2011,"North Carolina","Female",26.3,10.9,16.4,21.6532033426184,33.8,40.6,45.9,18.4
"207",2011,"North Dakota","Female",19.3,7.4,15.1,21.6532033426184,25.8,36.7,34.7,16.5565836298932
"208",2011,"Ohio","Female",21.9,11.8,13.3,20,29.6,41.1,44.5,15.4
"209",2011,"Oklahoma","Female",31.7,15.5,15.2,20.6,30.4,42.4,46.2,18.3
"210",2011,"Rhode Island","Female",15.3,8.4,14.9,23.1,28.2,33.9,37.1,18.2
"211",2011,"South Carolina","Female",30.9,8.4,18.4,17.7,41.6,47.2,51,15.8
"212",2011,"South Dakota","Female",20.1,7.5,14.3,18.4,22,36.9,40,17.1
"213",2011,"Tennessee","Female",37.5,12.4,17.5,20.6,34.2,41,47.2,18.2
"214",2011,"Texas","Female",25.5,11.9,18.3,33.3,37.7,47.9,43.6,18.7
"215",2011,"Utah","Female",10.6,4.8,10.7,14.3,18.7,30.7,31.9,14
"216",2011,"Vermont","Female",10,6.4,11.4,11.2,27.9302139037433,24.7,30.6,16.1
"217",2011,"Virginia","Female",22.9,10.7,16.5,14,32.7,41.1,42.5,17.1
"218",2011,"West Virginia","Female",35.6,9.5,15.3,23.1,28.3,33.9,40.7,19.2
"219",2011,"Wisconsin","Female",17.1,6.8,15,36.2,23.7,35.5,35.1,21.3
"220",2011,"Wyoming","Female",20.9,7,12.6,16.4,19.7,31.7,40.1,17.2
"221",2009,"Alabama","Female",35.7,9.6,19.3,29.6,36.8,44.2,51.6,13.4
"222",2009,"Alaska","Female",19.8,9.9,15.1,13.3,25.4,35.5,40.7,14
"223",2009,"Arizona","Female",22.6,8.6,14.6,24.3,34,39.9402898550725,43.6245989304813,18.1
"224",2009,"Arkansas","Female",32.9,9.9,15.2,21.3,34.7,45.2,46.8,16.5565836298932
"225",2009,"Colorado","Female",20.2,5.3,10.2,15.6,20.5,34.7,35.8,19.4
"226",2009,"Connecticut","Female",19.6482394366197,6.5,11.9,21.6532033426184,29.4,35.4,34.5,14.6
"227",2009,"Delaware","Female",25.6,11.6,16.5,22.7,36.5,39.9402898550725,46.7,13.9
"228",2009,"Florida","Female",24.1,7.3,13.3,19.7,36.8,42.7,42.4,16.5565836298932
"229",2009,"Georgia","Female",27.1,10.3,15.7,26.8,39.9,42.3,44.7,14.3
"230",2009,"Hawaii","Female",14.9,11.3,14.3,9,29.1,42.9,46.2,11
"231",2009,"Idaho","Female",13.9,4.8,11.3,15.9,20.2,34.6,37.7,16.5
"232",2009,"Illinois","Female",26.8,8.9,14,67.8,34.6,44.7,40.5,16.2
"233",2009,"Indiana","Female",26.4,9.5,17.6,14.7,30.3,41.4,46.1,14.3
"234",2009,"Kansas","Female",24.9,9.3,12.7,15.9,26.7,37.2,39,17.7
"235",2009,"Kentucky","Female",31.6,14.1,16,16.1,29.2,40,50.1,12.1
"236",2009,"Louisiana","Female",35.8,11.1,20.5,36.7,43.1,48.9,49.5,16.5565836298932
"237",2009,"Maine","Female",19.6482394366197,8,13.5,4.5,21.8,39.9402898550725,38.1,12.6
"238",2009,"Maryland","Female",18.8,8.5,14.9,15.9,37.3,37.9,34.2,16.5565836298932
"239",2009,"Massachusetts","Female",15.8,7,14.4,16.8,29.1,39.9402898550725,43.6245989304813,16.5565836298932
"240",2009,"Michigan","Female",22.6,7.9,13,26.1,25.2,35.1,38.4,18.4
"241",2009,"Mississippi","Female",38.1,16.2,16.5,18.5,45.2,46.6,43.7,16
"242",2009,"Missouri","Female",23.9,10.4,13.8,25.4,29.8,35.8,42.1,16.5
"243",2009,"Montana","Female",17.2,7.4,9.2,29.1,20.2,33,39,14.4
"244",2009,"National","Female",23.3,8.1,15.5,31.9,32.1,38.4,37.6,16.5565836298932
"245",2009,"Nevada","Female",17.6,6.5,13.2,21.6532033426184,36.4,47.3,47.4,16.5
"246",2009,"New Hampshire","Female",14.5,7.2,12.1,22.4,18.6,39.9402898550725,43.6245989304813,14.9
"247",2009,"New Jersey","Female",15.6,6.6,13.4,21.6532033426184,31.6,36.4,37.1,16.5565836298932
"248",2009,"New Mexico","Female",25.3,8.5,14.5,26.5,29.9,42.1,47.1,17.5
"249",2009,"New York","Female",19.1,7.1,13.5,15.8,29.9,39.9402898550725,38.2,14.7
"250",2009,"North Carolina","Female",28.8,9.9,15,21.6532033426184,35.4,42.1,46.7,15.2
"251",2009,"North Dakota","Female",19.5,7.1,12.2,21.6532033426184,19.7,42.2,40.9,16.5565836298932
"252",2009,"Oklahoma","Female",34.9,13.3,16.1,24.8,26.3,48.7,52.7,16.7
"253",2009,"Pennsylvania","Female",18.8,9.9,16,19.2,28.8,34.1,39.4,20
"254",2009,"Rhode Island","Female",16.9,8,16.5,22,27.1,34.9,36.2,16
"255",2009,"South Carolina","Female",31.2,14.1,16.1,13.2,41,51,50.2,11.9
"256",2009,"South Dakota","Female",21,5.9,11.8,15.3,18.2,40.6,43.3,16.6
"257",2009,"Tennessee","Female",39.5,12.9,17.3,18.3,37.9,44.5,47.7,13.1
"258",2009,"Texas","Female",28.3,10.5,14.9,30.7,35.9,45.2,43.9,16.6
"259",2009,"Utah","Female",9.2,4.3,10.6,19.3,16.1,32.5,34,16.5565836298932
"260",2009,"Vermont","Female",15,8.1,12.5,18,27.9302139037433,26.9,32.3,16.4
"261",2009,"West Virginia","Female",33.3,7.6,15.6,20.3,30.9,38.4,42,17
"262",2009,"Wisconsin","Female",17.1,6.8,13.6,41.6,19.4,34.9,32.9,17.8
"263",2009,"Wyoming","Female",20.3,8.3,11.7,19.3,19.8,32,41.7,17.2
"264",2007,"Alaska","Female",18.3,9.6,14.6,12.4,22.5,37.7,42.2,12.2
"265",2007,"Arizona","Female",24.6,8.4,12,21.5,27.3,43.6,47.4,16.5565836298932
"266",2007,"Arkansas","Female",36.3,8.9,16.5,32.7,31.6,45.6,51,16.5565836298932
"267",2007,"Connecticut","Female",19.6482394366197,8.1,11.3,21.6532033426184,28.7,33.2,35.5,17.2
"268",2007,"Delaware","Female",26.4,10.7,18.8,28.2,38.6,39.9402898550725,46.7,14.9
"269",2007,"District of Columbia","Female",29.1,15.6,19.5,16.4,53,52.6,47,13.9
"270",2007,"Florida","Female",26.8,6.8,15.1,17,39.7,40.4,43.7,16.5565836298932
"271",2007,"Georgia","Female",31.8,10.9,18.6,24.8,42.8,42.4,43.6,15.9
"272",2007,"Hawaii","Female",21.7,10.8,14.8,6.6,34,45,53.7,13.7
"273",2007,"Idaho","Female",16.6,6.3,12.9,23.2,18,38.1,42.9,14.9
"274",2007,"Illinois","Female",28.3,9.8,15.6,45,32.8,40.3,34.7,13.7
"275",2007,"Indiana","Female",27.6,9.7,14.5,20.4,26.1,37.7,39.7,16.4
"276",2007,"Iowa","Female",23.1,8.6,10.3,16.8,23.4,30.5,35.2,19.5
"277",2007,"Kansas","Female",29.5,6.8,14,18,23.5,31.8,45.3,15.8
"278",2007,"Kentucky","Female",36.9,10.8,15.2,16.6,27.1,41.1,53.7,11.1
"279",2007,"Louisiana","Female",36.2,11.6,14.4,42.2,39,54.8,56.3,18.3
"280",2007,"Maine","Female",13.3,7.4,11.9,6.1,22.9,25.8,35.3,16.5565836298932
"281",2007,"Maryland","Female",19.6482394366197,9.1,15.1,13.3,42.1,42.4,44.7,16.5565836298932
"282",2007,"Massachusetts","Female",18.3,7,14.8,17.8,26.2,39.9402898550725,43.6245989304813,13.9
"283",2007,"Michigan","Female",23.1,9.7,15.5,26.1,30.5,37.8,39,15.5
