"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","total"
"268",268,32.4,13.2,17.3,28.3,39,44.8,46.2,22.8,8
"269",269,30.3,17.5,17.6,16.3,52.5,50.7,45.1,18.5,9
"270",270,31,11.2,15.2,23,40.2,41,40.6,22,10
"271",271,34,13.7,18,34.3,43.1,42.7,41.6,26.1,11
"272",272,22.6,15.2,13.9,7.8,32.9,44.8,50.9,18.1,13
"273",273,23.2,10.9,11.6,32,22,36.8,42,23.2,14
"274",274,33.7,12.8,15.6,47.3,35,42.6,37.1,21.7,15
"275",275,35.6,13.7,15.2,25.2,28.7,37.6,39.7,23.5,16
"276",276,32.6,11.1,13.2,20,24.9,32.1,37.8,26.3,17
"277",277,33.1,11,14.2,25.7,25.9,32.8,40.6,26.3,18
"278",278,40.5,15.4,16.3,20,27.4,42.6,53,17.6,19
"279",279,36.5,15.4,17.5,44.7,38.2,53.8,52.9,25.2,20
"280",280,19.9,12.6,12.9,6.7,23.6,26.2,38.7,23.3,21
"281",281,40.9,12.9,15,15.6,41.9,41.7,44.8,28.6,22
"282",282,24.9,10.9,14.4,18.2,28.4,31.8,33,21.5,23
"283",283,28.9,12.4,16.4,29.8,32.6,39,41,21.9,24
"284",284,47,17.7,17.7,23.4,47.4,45.9,43.9,21.5,25
"285",285,32.8,11.9,14.2,24.1,29.6,40.5,43.1,26.8,26
"286",286,26.2,10.1,13.3,32.8,22.2,35.1,39.4,21.2,27
"287",287,33.8,12.8,15.6,30.3,35.4,39.3,39.6,19.4,28
"288",288,23.5,10.8,14.4,23.7,35.1,41.5,42.8,22.6,30
"289",289,24.2,11.5,14.2,17.2,25.1,28.1,37.7,24,31
"290",290,28,10.9,13.5,29.8,27.9,37.8,44.7,22.1,33
"291",291,24,10.8,16.1,13.1,35.3,37.3,38.5,20.6,34
"292",292,36.9,12.7,17,29,35.3,44.1,48.6,24.5,35
"293",293,28.6,9.9,13.5,30.9,25,37.3,40.5,21.8,36
"294",294,30.3,12.3,14.9,26.2,32,41.2,45.6,26.8,37
"295",295,40.7,14.6,15.1,34.3,33.3,43.6,49.7,29.4,38
"296",296,25.2,10.6,16.1,23.1,27.4,35,40.1,24.1,41
"297",297,34.3,14.3,16.9,23.1,38.6,47,48.8,20.1,42
"298",298,28.2,9,14.4,14.5,23.8,39.7,43,22.6,43
"299",299,46.4,16.8,18.1,30.4,38.3,41.4,46.7,24.3,44
"300",300,37.8,15.5,15.2,40.5,38.5,46,44,25.7,45
"301",301,16.9,8.6,11.4,29.9,18.2,34.7,38.9,19.9,46
"302",302,24.5,11.5,14.1,18.6,30.6,28.8,32.9,25.8,47
"303",303,45.9,14.5,16.8,25.5,32,39.9,43.9,26.3,49
"304",304,25,11,13.9,29.1,25.4,38.6,38,27.5,50
"305",305,27.9,9.2,11.3,21.9,20.8,34.7,43.7,26.4,51
