"","YearStart","LocationAbbr","StratificationCategory1","Stratification1","Soda","Obesity","Overweight","DailyPE","WatchTV","Veg","Fruit","Exercise"
"3477",2005,"RI","Gender","Female",NA,8.5,13.7,18.7,33.3,34.3,35.1,NA
"3478",2015,"MI","Race/Ethnicity","Asian",10.9,6.5,10.1,22.3,17.2,28.7,28,20
"3479",2011,"ND","Grade","11th",26.1,11.5,14,NA,26.9,37.5,35.2,NA
"3480",2001,"MI","Gender","Female",NA,7.2,11.6,25.9,29.5,33.8,36.5,NA
"3481",2015,"SC","Race/Ethnicity","Hispanic",18.1,23.2,18.4,13.6,25.3,53,41.9,16.7
"3482",2007,"UT","Race/Ethnicity","Hispanic",14.5,20.9,13.7,33.6,28.5,41.1,46,26.1
"3483",2011,"DE","Race/Ethnicity","2 or more races",27.9,15.5,14.4,29.3,39.7,NA,44.8,29.7
"3484",2015,"MD","Race/Ethnicity","American Indian/Alaska Native",22.6,14.4,14.3,14.4,28.3,39.3,47.5,22
"3485",2017,"DE","Grade","11th",17.1,14.6,15.2,NA,26.3,NA,NA,22.6
"3486",2003,"DC","Race/Ethnicity","Hispanic",NA,15.4,19.3,9.7,52.9,39.8,41.1,NA
"3487",2005,"MO","Gender","Female",NA,10.6,15.7,25.6,29.7,36.4,42.4,NA
"3488",2017,"AZ","Grade","11th",12.3,10.7,14.5,28,17.4,44.3,46.8,24.7
"3489",2003,"MO","Gender","Male",NA,15.9,14.9,37.7,35.6,39.5,40.6,NA
"3490",2011,"AL","Grade","12th",44.4,12.5,20.9,19,41.5,44.6,49.3,22.2
"3491",2003,"DE","Race/Ethnicity","2 or more races",NA,NA,NA,NA,56.3,46.8,48.1,NA
"3492",2005,"WY","Gender","Male",NA,12.1,12.6,26.1,24.5,34.7,42.1,NA
"3493",2005,"DE","Race/Ethnicity","Hispanic",NA,18.3,12.3,35.2,51.1,50.5,41.3,NA
"3494",2015,"IN","Grade","12th",22.1,9.5,22.7,20.4,27.1,39.6,37.5,24.4
"3495",2013,"NY","Race/Ethnicity","2 or more races",25.3,22.5,6.4,19.2,28.7,NA,30.1,37.5
"3496",2005,"MO","Grade","11th",NA,14.1,14,29.5,30.7,36.2,39.4,NA
"3497",2009,"MT","Grade","9th",26.3,10.1,13.8,48.4,27.1,38.4,39.9,23.3
"3498",2015,"MO","Gender","Female",17.1,10.3,12.4,18.2,23.9,43.9,47.9,19
"3499",2007,"AZ","Gender","Female",24.6,8.4,12,21.5,27.3,43.6,47.4,NA
"3500",2009,"DE","Race/Ethnicity","Non-Hispanic White",28,11.1,13.2,27.1,28.3,NA,42.4,26.6
"3501",2007,"HI","Race/Ethnicity","Hawaiian/Pacific Islander",31.4,23.8,16.4,5.9,24,51.8,51.5,22.1
"3502",2003,"FL","Gender","Male",NA,16.4,14.5,30.8,44.6,41.4,41.6,NA
"3503",2009,"ME","Grade","10th",NA,13.6,14.9,7.3,28.2,NA,40.6,18.4
"3504",2013,"OH","Grade","11th",23.9,9.7,15.6,NA,22.8,37.4,36.4,23
"3505",2017,"TN","Grade","12th",26.6,18.7,20.2,18.7,23,43.3,46.2,19.5
"3506",2009,"HI","Grade","9th",22.4,15.4,19.6,14.7,31.2,34.1,41.5,20.1
"3507",2015,"CA","Race/Ethnicity","Non-Hispanic White",15.2,9.4,15.4,44,17,30.5,26.3,29.5
"3508",2005,"DC","Grade","10th",NA,11.7,21.4,20.8,64,39,46.4,NA
"3509",2017,"NM","Gender","Female",16.8,12.2,17.7,21.7,21,42.2,48.7,22.4
"3510",2015,"HI","Gender","Female",10.2,8.1,15.1,5,21.8,NA,53.5,14.2
"3511",2011,"MA","Gender","Male",23.1,13.5,15.1,18.4,28.5,NA,NA,NA
"3512",2017,"AR","Race/Ethnicity","Hispanic",25,27.8,23.1,22.4,14.1,40.4,45.6,14.6
"3513",2005,"MO","Grade","10th",NA,12,16.1,28,31.5,37.2,42.3,NA
"3514",2001,"NC","Grade","12th",NA,10.7,11.8,20.3,NA,34.6,39.6,NA
"3515",2001,"WY","Grade","10th",NA,5.2,10.1,36.8,23.2,30.5,37.7,NA
"3516",2009,"MI","Grade","12th",28.3,10.4,11,31.4,30.8,38.7,40.4,22.7
"3517",2013,"NV","Total","Total",17,11.4,14.6,25.9,29.3,42.1,41.2,24
"3518",2015,"CT","Gender","Female",7.8,9.3,14.1,10.5,22.3,33.7,35.7,18.1
"3519",2003,"VT","Race/Ethnicity","American Indian/Alaska Native",NA,17.2,15.6,24.2,NA,26,36.5,NA
"3520",2005,"UT","Grade","11th",NA,6.5,10.8,13.3,17.9,30.6,38.9,NA
"3521",2009,"LA","Total","Total",36.6,14.4,17.7,36.4,40.3,48.2,49.8,NA
"3522",2011,"GA","Grade","9th",27,14.6,17.2,42.3,35.2,45.6,42.4,27.3
"3523",2011,"NC","Grade","12th",27.1,8.9,14.1,NA,34.8,37.6,44.4,25.1
"3524",2005,"MA","Race/Ethnicity","2 or more races",NA,12.8,17.7,16,35,NA,NA,NA
"3525",2005,"NJ","Race/Ethnicity","Asian",NA,11.5,16,48.4,24.2,31.9,34.5,NA
"3526",2005,"RI","Grade","10th",NA,12.9,16.6,18,39.4,34.5,36.3,NA
"3527",2009,"NJ","Grade","12th",20.1,10.7,15.5,NA,34,37.6,36.3,NA
"3528",2017,"MI","Grade","11th",19.1,17.2,13,14.6,23.8,39.7,37.5,23.2
"3529",2017,"HI","Grade","9th",10.2,14.5,14.5,7.7,17.8,45.7,47.1,24.1
"3530",2011,"DC","Gender","Male",23.8,13.4,16.4,11.6,36.1,44.3,38.1,21
"3531",2013,"WV","Grade","10th",39.3,17.9,15.9,28.2,32.2,35.4,41,30.8
"3532",2015,"AL","Race/Ethnicity","Non-Hispanic Black",28.5,19.6,19.7,25.8,45.6,52.2,43.4,20.9
"3533",2011,"GA","Gender","Female",24.9,11.7,14.9,21.9,39.1,43.4,46.3,14.2
"3534",2005,"WI","Race/Ethnicity","Non-Hispanic Black",NA,12.6,13.8,50.2,54.2,NA,NA,NA
"3535",2003,"NY","Grade","10th",NA,14.2,14.4,18.8,44.5,35.2,35.6,NA
"3536",2011,"CO","Grade","10th",23.3,8.3,10.9,NA,21.6,NA,NA,28.7
"3537",2011,"MA","Race/Ethnicity","Non-Hispanic Black",25.1,13.7,15.7,14,45.2,NA,NA,NA
"3538",2017,"OK","Gender","Female",22.5,17,19.4,19.7,26.5,47.2,55.8,21.1
"3539",2015,"AL","Grade","12th",29.9,16.5,14.8,21.2,34.6,45,50.5,22.7
"3540",2013,"MD","Total","Total",18,11,14.8,18.2,31.4,37.8,39.6,21.6
"3541",2007,"VT","Grade","12th",26.2,11.3,13,11.5,NA,26.8,33.2,23.6
"3542",2009,"WY","Grade","9th",25.8,10.3,14.6,35.5,24.6,35.3,37.9,31.3
"3543",2017,"OK","Grade","10th",22.4,16.9,17.2,25.9,24.9,42.8,48.1,31.7
"3544",2003,"NY","Grade","12th",NA,9.1,15.3,17.2,35.5,37.1,33,NA
"3545",2015,"DE","Race/Ethnicity","Non-Hispanic Black",21.2,19.6,17.5,11.5,41.8,NA,40.3,23.6
"3546",2005,"MA","Race/Ethnicity","Hispanic",NA,14.1,20.8,20.8,51.5,NA,NA,NA
"3547",2007,"HI","Grade","12th",18.9,14.3,12.4,6.5,24.3,41.2,48.2,17.9
"3548",2011,"ME","Race/Ethnicity","Non-Hispanic Black",NA,13.2,13.6,7.5,27.3,NA,36.7,18.9
"3549",2005,"MT","Race/Ethnicity","Non-Hispanic White",NA,8.4,12.1,32.8,25.3,34.7,39.7,NA
"3550",2001,"VT","Gender","Male",NA,13.8,12.9,30.4,NA,27.7,27.8,NA
"3551",2007,"WY","Grade","10th",26.9,8.8,11.7,17.8,20.7,35.9,46.4,28.1
"3552",2003,"MO","Grade","9th",NA,15.7,17.8,57.3,40.4,37.3,45.6,NA
"3553",2005,"DE","Race/Ethnicity","Non-Hispanic White",NA,11.6,14,28,33,39.2,47.5,NA
"3554",2015,"NH","Total","Total",13,12.2,14.5,NA,19.1,NA,NA,22.3
"3555",2007,"UT","Grade","9th",16.6,7.3,12.3,52.7,18.8,29.7,40.8,26.2
"3556",2007,"SC","Grade","9th",33.5,13.6,17.3,41.8,46.1,52.8,50.3,22.1
"3557",2013,"NV","Race/Ethnicity","2 or more races",11.6,11.5,13.5,25.1,32,38.5,45.3,23.9
"3558",2009,"HI","Race/Ethnicity","Asian",18.8,10.3,12.8,13.5,34.5,38.2,42.3,13.2
"3559",2009,"ME","Race/Ethnicity","Hispanic",NA,18.9,13.2,7.1,33.6,NA,42.4,17.9
"3560",2015,"AR","Grade","9th",27.1,16.4,20.1,41.4,30.1,45.1,43,35.7
"3561",2015,"GU","Race/Ethnicity","Hawaiian/Pacific Islander",20.1,23.4,19.7,10.7,24.3,44.3,52.7,24.3
"3562",2003,"MS","Race/Ethnicity","Non-Hispanic White",NA,12.5,13.8,22.6,38.4,33.2,51.5,NA
"3563",2001,"VT","Race/Ethnicity","Non-Hispanic White",NA,9.4,11.8,27.8,NA,27,28.5,NA
"3564",2003,"SD","Grade","12th",NA,8.8,13.4,9.8,22.8,37.3,41.5,NA
"3565",2003,"MS","Race/Ethnicity","Non-Hispanic Black",NA,18.8,17.1,24.3,71.1,50.6,38.9,NA
"3566",2009,"PA","Total","Total",25.7,11.7,15.8,20.9,30.8,36.2,39.1,27.7
"3567",2009,"MI","Race/Ethnicity","2 or more races",34.2,9,19.4,34.2,31.6,36.9,29.2,26.4
"3568",2003,"UT","Gender","Female",NA,5.5,9.5,23.1,20.8,30.2,39.7,NA
